Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,SRA Study,strain,create_date,version
SRR2584664,WGS,36,183491964,PRJNA295606,SAMN04096059,"Microbe\, viral or environmental",167641588,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX1317197,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL1165A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL1165A,DNA,SRP064605,REL1165A,2015-10-08T12:30:00Z,1
SRR2584665,WGS,50,3494031353,PRJNA295606,SAMN04096185,"Microbe\, viral or environmental",2295980846,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1317199,uncalculated,uncalculated,not applicable,not applicable,Illumina HiSeq 2000,not applicable,REL11342,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL11342,DNA,SRP064605,REL11342,2015-10-08T13:15:00Z,1
SRR2584696,WGS,50,2895215123,PRJNA295606,SAMN04096207,"Microbe\, viral or environmental",1903935801,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1317223,uncalculated,uncalculated,not applicable,not applicable,Illumina HiSeq 2000,not applicable,REL11345,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL11345,DNA,SRP064605,REL11345,2015-10-08T12:58:00Z,1
SRR2584776,WGS,36,135438732,PRJNA295606,SAMN04096228,"Microbe\, viral or environmental",105502248,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1317303,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL772A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL772A,DNA,SRP064605,REL772A,2015-10-08T12:44:00Z,1
SRR2584777,WGS,36,263555352,PRJNA295606,SAMN04096229,"Microbe\, viral or environmental",200906531,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX1317304,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL772B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL772B,DNA,SRP064605,REL772B,2015-10-08T12:45:00Z,1
SRR2584778,WGS,36,273381552,PRJNA295606,SAMN04096230,"Microbe\, viral or environmental",207523601,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX1317305,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL962A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL962A,DNA,SRP064605,REL962A,2015-10-08T12:45:00Z,1
SRR2584780,WGS,36,279027180,PRJNA295606,SAMN04096232,"Microbe\, viral or environmental",213409223,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1317308,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL1066A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL1066A,DNA,SRP064605,REL1066A,2015-10-08T12:47:00Z,1
SRR2584781,WGS,36,273493836,PRJNA295606,SAMN04096233,"Microbe\, viral or environmental",213332723,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX1317309,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL1066B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL1066B,DNA,SRP064605,REL1066B,2015-10-08T12:47:00Z,1
SRR2584782,WGS,36,279831240,PRJNA295606,SAMN04096234,"Microbe\, viral or environmental",218311721,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1317310,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL1162A,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL1162A,DNA,SRP064605,REL1162A,2015-10-08T12:47:00Z,1
SRR2584784,WGS,36,287836740,PRJNA295606,SAMN04096235,"Microbe\, viral or environmental",224094133,THE UNIVERSITY OF TEXAS AT AUSTIN,not applicable,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX1317312,uncalculated,uncalculated,not applicable,not applicable,Illumina Genome Analyzer IIx,not applicable,REL1162B,SINGLE,RANDOM,GENOMIC,Escherichia coli B str. REL606,ILLUMINA,2016-01-14T00:00:00Z,REL1162B,DNA,SRP064605,REL1162B,2015-10-08T12:47:00Z,1
